iter	Passed	Remaining
360	43300	16672
361	43435	16558
362	43571	16444
363	43694	16325
364	43815	16205
365	43953	16092
366	44103	15983
367	44248	15871
368	44401	15763
369	44536	15648
370	44669	15531
371	44774	15406
372	44903	15288
373	45039	15173
374	45162	15054
375	45288	14935
376	45410	14815
377	45535	14696
378	45684	14585
379	45820	14469
380	45933	14346
381	46061	14228
382	46174	14105
383	46306	13988
384	46443	13872
385	46574	13755
386	46702	13636
387	46837	13520
388	46970	13402
389	47086	13280
390	47215	13162
391	47331	13040
392	47457	12921
393	47578	12800
394	47710	12682
395	47841	12564
396	47959	12443
397	48092	12325
398	48217	12205
399	48344	12086
400	48470	11966
401	48590	11845
402	48718	11726
403	48845	11606
404	48962	11485
405	49115	11371
406	49316	11268
407	49474	11155
408	49617	11039
409	49816	10935
410	49974	10821
411	50115	10704
412	50254	10586
413	50435	10476
414	50611	10366
415	50748	10247
416	50885	10128
417	51089	10022
418	51286	9914
419	51523	9813
420	51705	9702
421	51920	9596
422	52079	9480
423	52214	9359
424	52403	9247
425	52596	9136
426	52791	9025
427	52964	8909
428	53097	8787
429	53275	8672
430	53441	8555
431	53597	8436
432	53793	8323
433	53973	8207
434	54158	8092
435	54347	7977
436	54544	7863
437	54691	7741
438	54836	7619
439	54981	7497
440	55117	7374
441	55248	7249
442	55383	7126
443	55529	7003
444	55676	6881
445	55834	6760
446	56019	6642
447	56201	6523
448	56350	6400
449	56524	6280
450	56720	6162
451	56938	6046
452	57136	5928
453	57393	5815
454	57633	5700
455	57869	5583
456	58061	5463
457	58279	5344
458	58483	5224
459	58675	5102
460	58899	4982
461	59132	4863
462	59342	4742
463	59550	4620
464	59764	4498
465	59980	4376
466	60174	4252
467	60312	4123
468	60459	3996
469	60596	3867
470	60747	3740
471	60889	3612
472	61029	3483
473	61164	3355
474	61361	3229
475	61563	3104
476	61803	2980
477	61945	2851
478	62101	2722
479	62251	2593
480	62394	2464
481	62548	2335
482	62712	2207
483	62854	2077
484	62988	1948
485	63119	1818
486	63264	1688
487	63400	1559
488	63578	1430
489	63754	1301
490	63903	1171
491	64077	1041
492	64218	911
493	64348	781
494	64488	651
495	64632	521
496	64773	390
497	64906	260
498	65047	130
499	65174	0
