iter	F1	Logloss
244	0.927967879	0.1858455448
245	0.9280203543	0.1857702793
246	0.9280659606	0.1857207205
247	0.9281663754	0.1856470625
248	0.9281058698	0.1856061983
249	0.9281355424	0.1855009179
250	0.9281343785	0.185371261
251	0.9281697532	0.1852977083
252	0.9283922259	0.1852143265
253	0.9283922259	0.1852143198
254	0.9283933746	0.1851062913
255	0.9284401446	0.1850126217
256	0.9284994627	0.184974741
257	0.9285747457	0.1848965797
258	0.928549653	0.1848256374
259	0.928748141	0.1847108947
260	0.9288142733	0.1846440507
261	0.9287789195	0.1845815165
262	0.9287435643	0.1844512931
263	0.9287777933	0.1843831141
264	0.9287538461	0.1842622022
265	0.9286603073	0.1840873657
266	0.9287869521	0.1840198971
267	0.9287630021	0.1839703126
268	0.9287675809	0.1838729054
269	0.9288257711	0.1838330579
270	0.9289079093	0.1838155095
271	0.9288782547	0.183756623
272	0.9290664629	0.183675373
273	0.9290265116	0.1835041501
274	0.9291393804	0.183363966
275	0.9292214878	0.183248251
276	0.9291736244	0.1832057821
277	0.929108632	0.1830749959
278	0.9292364116	0.182984037
279	0.9292192869	0.1829479378
280	0.9292296033	0.1828846204
281	0.9292181863	0.1828617666
282	0.9292535368	0.1828090598
283	0.9292592454	0.1827681397
284	0.9292717602	0.1827453734
285	0.9292763714	0.1826733748
286	0.929258147	0.1826371494
287	0.9293220441	0.1825824223
288	0.9292513394	0.1825751065
289	0.9293334629	0.1825323806
290	0.9293802325	0.1824921717
291	0.9293802325	0.1824688721
292	0.929403072	0.1824448545
293	0.929397362	0.1824081939
294	0.9293437887	0.1823902868
295	0.9295216191	0.1823088115
296	0.9295091153	0.1822030261
297	0.9295148257	0.1821656104
298	0.929680113	0.182092218
299	0.9297564964	0.1820227019
300	0.9297564964	0.1820227019
301	0.9297918305	0.1820157954
302	0.9297382938	0.1819523525
303	0.9297850521	0.1819221934
304	0.929795408	0.1818325705
305	0.9297714932	0.1818169797
306	0.9298650173	0.1818027922
307	0.9298364567	0.1817893867
308	0.9298364567	0.1816894493
309	0.9298946408	0.1816016429
310	0.9300484462	0.1815078653
311	0.9300120643	0.1814547719
312	0.9300234899	0.1814515973
313	0.9300520552	0.1814099749
314	0.9301102395	0.1812369839
315	0.9301102395	0.181212987
316	0.9301741383	0.181085383
317	0.930220895	0.1810708217
318	0.9302266093	0.1810615517
319	0.9302847948	0.1810399103
320	0.9303076542	0.1809858792
321	0.9303133693	0.1809823794
322	0.9303066172	0.1808797978
323	0.9303305148	0.1808586226
324	0.9303305148	0.1808556206
325	0.930382988	0.180849618
326	0.9304411767	0.1807334561
327	0.9304001351	0.1805849059
328	0.9304229989	0.1805656032
329	0.9304172828	0.180500309
330	0.9304115668	0.1804820786
331	0.9304115668	0.1804793704
332	0.9304297449	0.1804227544
333	0.9305299966	0.1803980865
334	0.9305814438	0.1803506039
335	0.9305747058	0.1802582452
336	0.9305747058	0.180229348
337	0.930709255	0.180108873
338	0.9308572415	0.1800249621
339	0.9308458063	0.1799548856
340	0.9309049893	0.179925855
341	0.9309641658	0.1798684193
342	0.9309641658	0.1798647508
343	0.9309984728	0.1797164462
344	0.9311043804	0.1796523089
345	0.9311272543	0.1795786474
346	0.9311215357	0.1795748468
347	0.931080516	0.1795152501
348	0.9310862344	0.1794865921
349	0.9311921337	0.1794251038
350	0.9312159929	0.1794042127
351	0.9312398505	0.1793789803
352	0.9312284133	0.1793687572
353	0.9312789027	0.1792233596
354	0.9313065224	0.1791154817
355	0.9313656776	0.1790317204
356	0.9313599574	0.1790295526
357	0.9313828384	0.178978739
358	0.931370423	0.1788811924
359	0.9313741945	0.1787819076
360	0.9314609918	0.1787085137
361	0.9315134596	0.1786504676
362	0.9316250773	0.178546157
363	0.9315897804	0.1785113762
364	0.9315897804	0.1785082059
365	0.9315592406	0.178431662
366	0.931595503	0.1783551423
367	0.9316308	0.1783322048
368	0.9314943575	0.1782572214
369	0.9314943575	0.1782570947
370	0.9316527332	0.1781468488
371	0.9316641801	0.1781449377
372	0.9316765844	0.1780682757
373	0.9317347749	0.1779826717
374	0.9317643462	0.1779808264
375	0.9317404986	0.1779142338
376	0.931794866	0.1778824906
377	0.9317586225	0.177828423
378	0.9317176041	0.1778071688
379	0.9317233276	0.1777253775
380	0.9317233276	0.1777252566
381	0.9318454325	0.1776459947
382	0.9319570307	0.1775354333
383	0.9319570307	0.1774633425
384	0.9319627555	0.1774363813
385	0.9320285421	0.1774106743
386	0.9320228176	0.1773592233
387	0.9320218808	0.1772830062
388	0.9320104313	0.1772622255
389	0.9320218808	0.1772594466
390	0.9319980438	0.1772355507
391	0.9319980438	0.177233925
392	0.9320085562	0.1771479042
393	0.9319904417	0.1771371033
394	0.9321258703	0.17703991
395	0.9321897853	0.176969476
396	0.9321659525	0.1769669598
397	0.9321545001	0.1768917222
398	0.9322193426	0.1768500264
399	0.9322069643	0.1768190951
400	0.9323137313	0.1767581293
401	0.9323719151	0.1766557693
402	0.9323185383	0.1765744779
403	0.9324005498	0.1765086263
404	0.932406277	0.1765011122
405	0.9325054667	0.1764126502
406	0.9325980225	0.176308053
407	0.9325742044	0.1762547744
408	0.9325684759	0.176227133
409	0.9325856617	0.1761862304
410	0.9325561134	0.1760999929
411	0.9325561134	0.1760669179
412	0.9325962159	0.1760312438
413	0.9326134038	0.1759954669
414	0.9326076744	0.1759506687
415	0.9326468809	0.1758554314
416	0.9326468809	0.1758169633
417	0.9327231711	0.1756352643
418	0.9327460932	0.1755112556
419	0.9327460932	0.1755099788
420	0.9327108136	0.1754186452
421	0.9327985639	0.1753951457
422	0.9327204825	0.1753349449
423	0.9327385723	0.1752820568
424	0.9327614979	0.1751896216
425	0.9327548721	0.1750883803
426	0.9327786929	0.1750829423
427	0.9327786929	0.1750829391
428	0.9328721853	0.1750522201
429	0.9328960009	0.1750174523
430	0.9329312793	0.1749898275
431	0.9330172714	0.1749119584
432	0.9330000717	0.174879648
433	0.9330000717	0.1748785094
434	0.9329524435	0.1748211108
435	0.9330640167	0.174785698
436	0.933075484	0.1747342678
437	0.9330344717	0.174682513
438	0.9330525497	0.1746314305
439	0.9330763596	0.1745755627
440	0.9331288354	0.1745314072
441	0.9331107611	0.1744831084
442	0.9330926854	0.1744768918
443	0.9330812177	0.1744712168
444	0.9331403029	0.1743550364
445	0.9331098875	0.1743162632
446	0.933116495	0.1742800554
447	0.9331575047	0.1742253855
448	0.9331747071	0.1742014123
449	0.9332813898	0.1741037493
450	0.9333461898	0.1740936705
451	0.9331821802	0.1740373526
452	0.9332707856	0.1739505566
453	0.9333404555	0.1738831356
454	0.9333461898	0.1738784381
455	0.9332994552	0.1737573235
456	0.9333232531	0.173747952
457	0.9333051893	0.1737041402
458	0.9335167638	0.173623616
459	0.9335044442	0.1735495675
460	0.9335397032	0.173477581
461	0.9335683791	0.1734085602
462	0.9336635183	0.1733308944
463	0.9336921949	0.1732787727
464	0.9337389178	0.1732153933
465	0.9336921949	0.1731626952
466	0.9336979305	0.1731604117
467	0.9337036661	0.1731168573
468	0.9338028481	0.1730303999
469	0.9338028481	0.1730250516
470	0.9337675974	0.1729998516
471	0.9337675974	0.1729976993
472	0.9338553065	0.1729218648
473	0.9338315299	0.1729161925
474	0.9337782354	0.1728677378
475	0.933783972	0.1728614392
476	0.933783972	0.1728601547
477	0.933783972	0.1728589694
478	0.9337240967	0.1727841527
479	0.9338077518	0.1727070226
480	0.9337552897	0.1726495126
481	0.9338020152	0.1726025005
482	0.9339307123	0.1725400616
483	0.9339544852	0.1725028882
484	0.9339716966	0.1724732616
485	0.9339479238	0.1724514276
486	0.9339839935	0.1724144805
487	0.9340249744	0.1723468151
488	0.9340544795	0.1722670585
489	0.9340602168	0.172262038
490	0.9340602168	0.1722559352
491	0.9340421864	0.1721861263
492	0.9341126702	0.1720108385
493	0.9341888857	0.1719850842
494	0.9341593853	0.1719763581
495	0.9341241455	0.1719097585
496	0.9341470971	0.1718278781
497	0.9342929829	0.171754896
498	0.9343044607	0.1717464262
499	0.9342749616	0.1716400039
